"Reg No.";"Nick";"Display Name";"Website Reg";"Merchandise";"Attends Thu";"Attends Fri";"Attends Sat";"Allows Use of Data";"After Dark";"Short Description";"About the Artist";"About the Art";"Website";"Twitter";"Telegram";"Discord";"Tweet";"Art Preview Caption";"ThumbnailImg";"ArtistImg";"ArtImg";"Cat. Prints";"Cat. Artwork";"Cat. Fursuit";"Cat. Commissions";"Cat. Misc"
"233";"Blajn";"Blajnart";"https://www.furaffinity.net/user/gryph000/";"Prints/canvass prints, pins/buttons, mugs,traditional pencil art, original arts, commission sketches,laminated badges, magnets.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"234";"Luki Saluki";"Dog In Disguise";"https://rytteremilie.wixsite.com/emilycreative";"Primarily vinyl stickers. Both premade as different paw prints and furry words such as ""OWO"", But also custom vinyl stickers such as your characters name. It will be printed on the convention on the vinyl cutter.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"235";"Ruef";"Ruef n' Beeb";"http://ruefnbeeb.com";"We sell T-shirts, body pillows, drawstring bags, mousepad, lanyards, enamel pins, stickers, buttons and Live Traditional and Digital commissions!";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"236";"Divided";"Divided";"https://www.weasyl.com/submissions/divided";"badge comissions, handmade leathercraft (writbands, collars, keychains...), prints";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"237";"Velannal";"Velannal";"https://www.furaffinity.net/user/velannal/";"Prints, small comic, stickers, t-shirts, resin bookmarks";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"238";"crowfangs";"";"http://crowfangs.com";"Pins, prints, embroidered patches, stickers, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"239";"Gnulia";"";"http://www.juliabeutling.com";"prints, posters, postcards, small books, sketch commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"240";"EmilyCreative";"EmilyCreative";"https://rytteremilie.wixsite.com/emilycreative";"Commissions, stickers, Keychains, mugs and vinyl sticker designs.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"241";"datsasu";"dat sazu";"https://www.instagram.com/datsazu/ or https://t.me/sazuart (telegram chanel)";"Original artworks, prints and badges";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"242";"SolarByte";"SolarByte";"http://www.furaffinity.net/gallery/solarbyte/";"Badges, pins, lanyard, prints, buttons";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"243";"Toxikaiju";"TOXIKAIJU";"http://Furaffinity.net/user/toxicclaws";"Prints, badges, charms, drawings, stickers";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"244";"CRP";"";"http://crp.parafin.sk/ creepyriver.deviantart.com";"Handmade leather items (belts, handbags, wallets, bracelets, small leather accessories,...); Fimo brooches and necklaces; buttons.";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"245";"FrauLion";"HyenaAgenda";"https://hyena-agenda.com/";"Apparel and accessories for your inner hyena!";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"246";"pinkferal";"pinkferal";"https://twitter.com/PinkFeral";"Plushies, toys, stickers, enamel pins, mouse pads, sketches, t shirts and posters";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"247";"Herbst";"Snerbst Plushies";"https://www.instagram.com/snerbstplushies/";"Plushies (Custom and premade), plush keychains/charms, fursuit plush props";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"248";"rmdragons";"Rocky Mountain Dragons LLC";"http://www.rmdragons.com";"We sell custom shoulder packs, wearable art dolls, and plushies";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"250";"RSKemono";"Rising Sun Kemono";"http://www.RSKemono.com";"We make Japanese Kemono Style Fursuits";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"251";"TokoKami";"TokoKami";"https://sta.sh/2fjboge0iu3?edit=1";"Prints of var. sizes, Postcards, Stickers, ACEO Cards, Buttons, Onsite Commissions, Badge Comissions, Originals";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"252";"NORR";"Muura & NORR";"https://www.furaffinity.net/user/norrthehungerer/";"limited edition lino prints, pins, textile merch, small ceramics";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"253";"muura";"muura";"http://muura.tumblr.com";"pins, enamel pins, stickers, graphic art prints, zines, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"254";"Staphilea";"PlushiesRain";"https://www.deviantart.com/staphilea";"Plush, patch and keychain";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"255";"Leundra";"Leundra";"https://www.deviantart.com/leundra";"prints, suit parts, pendants, original art";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"256";"zhenya";"zhenya";"https://zuckerluchs.de/gallery/";"commissions, prints, stickers";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"257";"Rez";"Mountain Badger";"https://mtnbadger.com";"T-shirts, underwear, prints, and stickers";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"258";"Cruz";"Cruz";"https://www.weasyl.com/~cruz";"Buttons, Posters, Tote Bags";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"259";"Emithegoat";"Emi The Goat";"https://www.furaffinity.net/user/sugaryviolet/";"Badges, prints, pins, mugs, commissions";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"260";"Gideon";"";"http://www.gideonscorral.com";"art, sketchbook sketches, sketches, merchandize, art dvds, and much more";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"262";"Wishkamon";"Traffic Cone Creations";"https://m.facebook.com/TrafficConeCreations";"I want to offer custom Kigurumi/hoodie slots as well as some premades and possibly fursuit props";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
"264";"Jyanon";"Jyanon";"https://www.furaffinity.net/user/jyanon/";"Fursuit Photographie and Convention Project Management";"X";"X";"X";"";"";;;;;;;;;;;;;;;;;
